,Longitude,Latitude,Code,Metro,Cluster,Region
1627,-81.05139923,24.71940041,MTH,MTH,13,Florida
1628,-81.01670074,34.91669846,RKH,RKH,13,M
1629,-80.99559784,33.97079849,CUB,CAE,13,M
1630,-80.94999695,35.76670074,SVH,SVH,13,M
1631,-80.9477005,29.05439949,DQN,DQN,13,Florida
1632,-80.93579865,35.21920013,CLT,CLT,13,M
1633,-80.86669922,33.5,OGB,OGB,13,M
1634,-80.84999847,35.21670151,QWG,CLT,13,M
1635,-80.83329773,27.25,OBE,OBE,13,Florida
1636,-80.79969788,33.91830063,MMT,CAE,13,M
1637,-80.79940033,28.5121994,TIX,TIX,13,Florida
1638,-80.76670074,41.73329926,JFN,JFN,14,N
1639,-80.73329926,28.35000038,COF,COF,13,Florida
1640,-80.70939636,35.38499832,USA,USA,13,M
1641,-80.6832962,32.21670151,HHH,HHH,13,M
1642,-80.6785965,37.1371994,PSK,PSK,14,N
1643,-80.66970062,41.2560997,YNG,YNG,14,N
1644,-80.66670227,32.90000153,RBW,RBW,13,M
1645,-80.65000153,26.81669998,PHK,PHK,13,Florida
1646,-80.64830017,33.55720139,VWJ,VWJ,13,M
1647,-80.64830017,40.17440033,HLG,HLG,14,N
1648,-80.64309692,28.10250092,MLB,MLB,13,Florida
1649,-80.63500214,32.41080093,BFT,BFT,13,M
1650,-80.59999847,28.31699944,COI,COI,13,Florida
1651,-80.59999847,34.26670074,CDN,CDN,13,M
1652,-80.51670074,35.63330078,SRW,SRW,13,M
1653,-80.48329926,25.48329926,HST,HST,13,Florida
1654,-80.47239685,33.9720993,SSC,SSC,13,M
1655,-80.43190002,25.64579964,TMB,MIA,13,Florida
1656,-80.41359711,27.65250015,VRB,VRB,13,Florida
1657,-80.4068985,37.2071991,BCB,BCB,14,N
1658,-80.40000153,40.76670074,BFP,BFP,14,N
1659,-80.39859772,37.85969925,LWB,LWB,14,N
1660,-80.36779785,27.49309921,FPR,FPR,13,Florida
1661,-80.36250305,33.99499893,SUM,SSC,13,M
1662,-80.30000305,37.79999924,SSU,SSU,14,N
1663,-80.28610229,25.79249954,MIA,MIA,13,Florida
1664,-80.28029633,25.90690041,OPF,MIA,13,Florida
1665,-80.27690125,25.32250023,KYL,KYL,13,Florida
1666,-80.27690125,25.32250023,OCA,OCA,13,Florida
1667,-80.25,25.75,JDM,MIA,13,Florida
1668,-80.25,27.20000076,SUA,SUA,13,Florida
1669,-80.25,40.16669846,WSG,WSG,14,N
1670,-80.2358017,40.49670029,CVA,PIT,14,N
1671,-80.2358017,40.49670029,PIT,PIT,14,N
1672,-80.22940063,39.29560089,CKB,CKB,14,N
1673,-80.2256012,36.13529968,INT,INT,14,N
1674,-80.1832962,25.7833004,TNT,MIA,13,Florida
1675,-80.1785965,42.08000183,ERI,ERI,14,N
1676,-80.17350006,25.74749947,MPB,MIA,13,Florida
1677,-80.16699982,41.63299942,MEJ,MEJ,14,N
1678,-80.16670227,26.11669922,ZFT,FLL,13,Florida
1679,-80.15170288,26.07419968,FLL,FLL,13,Florida
1680,-80.15000153,26,HWO,HWO,13,Florida
1681,-80.15000153,26.06669998,FXE,FLL,13,Florida
1682,-80.11669922,26.25,PPM,PPM,13,Florida
1683,-80.10829926,26.37080002,BCT,BCT,13,Florida
1684,-80.09420013,26.68219948,PBI,PBI,13,Florida
1685,-80.0667038,34.38330078,HVS,HVS,14,N
1686,-80.05000305,26.7166996,LNA,PBI,13,Florida
1687,-80.05000305,26.7166996,ZWP,PBI,13,Florida
1688,-80.03890228,32.89920044,CHS,CHS,13,M
1689,-79.97640228,37.3246994,ROA,ROA,14,N
1690,-79.94280243,36.09189987,GSO,GSO,14,N
1691,-79.93000031,40.35469818,AGC,PIT,14,N
1692,-79.91670227,40.84999847,BTP,BTP,14,N
1693,-79.915802,39.64279938,MGW,MGW,14,N
1694,-79.88330078,34.70000076,HCW,HCW,14,N
1695,-79.85970306,41.37919998,FKL,FKL,14,N
1696,-79.85780334,38.88940048,EKN,EKN,14,N
1697,-79.83390045,37.95059967,HSP,HSP,14,N
1698,-79.72440338,34.18889999,FLO,FLO,14,N
1699,-79.69999695,41.43330002,OIL,OIL,14,N
1700,-79.6832962,34.61669922,BTN,BTN,14,N
1701,-79.57579803,35.18000031,SOP,SOP,14,N
1702,-79.5667038,33.45000076,ADR,ADR,14,N
1703,-79.5667038,35.03329849,HFF,HFF,14,N
1704,-79.43000031,39.0625,ODM,OBT,14,N
1705,-79.40280151,40.27640152,LBE,LBE,14,N
1706,-79.36669922,34.41669846,DLL,DLL,14,N
1707,-79.33499908,36.57310104,DAN,DAN,14,N
1708,-79.33329773,34.71670151,MXE,MXE,14,N
1709,-79.33329773,42.48329926,DKK,DKK,14,N
1710,-79.28330231,33.38330078,GGE,GGE,14,N
1711,-79.25810242,42.15060043,JHW,JHW,14,N
1712,-79.20110321,37.32690048,LYH,LYH,14,N
1713,-79.15000153,40.61669922,IDI,IDI,14,N
1714,-79.11669922,39,PGC,PGC,14,N
1715,-79.01670074,35.16669846,FBG,FBG,14,N
1716,-79.01470184,35.17020035,POB,FBG,14,N
1717,-79,34.61669922,LBT,LBT,14,N
1718,-78.94580078,43.10720062,IAG,IAG,14,N
1719,-78.92970276,33.67919922,MYR,MYR,14,N
1720,-78.89890289,41.17829895,DUJ,DUJ,14,N
1721,-78.896698,38.26390076,SHD,SHD,14,N
1722,-78.88330078,42.88330078,ZXS,BUF,14,N
1723,-78.88030243,34.99140167,FAY,FAY,14,N
1724,-78.83439636,40.31669998,JST,JST,14,N
1725,-78.7818985,35.87530136,RDU,RDU,14,N
1726,-78.76609802,39.61439896,CBE,CBE,14,N
1727,-78.73639679,42.94110107,ZFZ,BUF,14,N
1728,-78.73249817,42.94060135,BUF,BUF,14,N
1729,-78.72419739,33.81169891,CRE,MYR,14,N
1730,-78.63939667,41.80220032,BFD,BFD,14,N
1731,-78.5667038,41.43330002,STQ,STQ,14,N
1732,-78.45310211,38.14139938,CHO,CHO,14,N
1733,-78.37670135,42.24079895,OLE,OLE,14,N
1734,-78.36669922,35,CTZ,CTZ,14,N
1735,-78.31999969,40.29719925,AOO,AOO,14,N
1736,-78.30000305,36.09999847,LFN,LFN,14,N
1737,-78.19999695,38.91669846,FRR,FRR,14,N
1738,-78.16529846,38.15610123,GVE,GVE,14,N
1739,-78.14279938,39.14110184,WGO,WGO,14,N
1740,-78.08580017,40.88330078,PSB,PSB,14,N
1741,-77.98500061,39.40169907,MRB,MRB,14,N
1742,-77.96659851,38,LOW,LOW,14,N
1743,-77.95999908,35.33940125,GSB,GSB,14,N
1744,-77.94999695,37.08330154,BKT,BKT,14,N
1745,-77.94999695,42.11669922,ELZ,ELZ,14,N
1746,-77.90390015,34.26689911,ILM,ILM,14,N
1747,-77.89060211,35.85440063,RWI,RWI,14,N
1748,-77.88330078,40.38330078,MUU,MUU,14,N
1749,-77.88140106,40.77080154,SCE,SCE,14,N
1750,-77.84999847,36.75,LVL,LVL,14,N
1751,-77.73000336,39.70780182,HGR,HGR,14,N
1752,-77.69999695,42.56669998,DSV,DSV,14,N
1753,-77.6832962,38.63330078,CTO,CTO,14,N
1754,-77.67079926,43.12139893,ROC,ROC,14,N
1755,-77.67079926,43.12139893,ZTE,ROC,14,N
1756,-77.66670227,36.46670151,RZZ,RZZ,14,N
1757,-77.62830353,40.66830063,RED,RED,14,N
1758,-77.62680054,40.67739868,RVL,RVL,14,N
1759,-77.62220001,38.89670181,WAS,WAS,14,N
